epoch,dw_kl_loss,kl_loss,loss,mi_loss,rec_loss,tc_loss,val_dw_kl_loss,val_kl_loss,val_loss,val_mi_loss,val_rec_loss,val_tc_loss
0,172.71781136660516,11.73799819821904,-563.6853199953489,-1.1063481604206284,224.31799235839844,-159.9357959266553,167.28990935806698,7.811479960357415,-642.7457501353016,-0.18201902253628702,145.89198876953125,-159.29093820672722
1,167.121187260746,7.7538128292042865,-645.8318457324663,-0.17954501384654628,142.38949024658203,-159.19382970432486,166.89769673256222,7.40371856077471,-648.0161995667567,-0.1993457578721242,141.20393029785157,-159.3197468065497
2,166.90588274417013,7.796501542172262,-648.8975294986483,-0.15609125822717038,138.17289697265625,-158.9700363262079,166.9259520796242,7.996091924620215,-649.5017766135503,-0.1327077025341768,136.39575518798827,-158.7817960297714
3,166.86058095389944,7.967386809806764,-650.7058000543767,-0.13577422427038863,134.99945190429688,-158.73834311471714,166.8144706033196,7.9746396229547765,-644.9466474525503,-0.13973170620959466,140.6022388305664,-158.70393753003768
4,166.8363172880272,8.1492610463033,-651.9391964556771,-0.12803567497306667,132.7778845336914,-158.5708937670704,166.8023005708871,7.9159995075405485,-651.9712595377907,-0.15024225999206556,133.95833319091795,-158.7636085066006
5,166.82355241162404,8.239962573584942,-652.7061944527279,-0.12208152830452643,131.45875024414062,-158.47773593003168,166.7640124276579,8.049269405054162,-653.2993501061164,-0.1230181726678599,131.4848274536133,-158.57086196911985
6,166.82853468672266,8.278817707262636,-653.4667676867375,-0.1117387818409748,130.32183905029297,-158.41756710698547,166.75843958802298,8.005825352425619,-653.5078324265927,-0.13383986371527748,131.73942156982423,-158.6453089534541
7,166.8372304767897,8.351997253765502,-653.7715797150796,-0.11279564676392033,129.80525913085938,-158.3835456126606,166.79792333755756,8.35476409384862,-652.4609956637792,-0.10849644197991858,130.99863763427734,-158.3581766989389
8,166.8390101961578,8.38119684987487,-654.4696689207572,-0.10878106117526126,128.8353119873047,-158.33920167384073,166.8336526749997,8.601858739007167,-653.5778900018984,-0.10534120829963985,128.61713159179686,-158.15388884339922
9,166.8371729804469,8.436335278040602,-654.5808129254658,-0.10619469587024387,128.43889619140626,-158.29178123357462,166.86143560812025,8.320120557474567,-654.5879003280406,-0.1119766401108921,129.17434130859374,-158.41861676744062
10,166.83687024673327,8.489797697860919,-655.0132572516468,-0.10521335871948911,127.80355834960938,-158.25807874821166,166.78506483735177,8.05748809091013,-655.3020607630233,-0.13031370041613896,129.5366309814453,-158.582240480234
11,166.8259975508924,8.463779891739021,-655.3023874893597,-0.10401298160363355,127.39144737548828,-158.23596990568925,166.78098433347301,8.237344148882228,-655.1228491985871,-0.1257761741303809,128.82161065673827,-158.4332780024446
12,166.83009398185095,8.492711144467219,-655.3624599708205,-0.101421783754369,127.24140546875,-158.22208960627793,166.79620524223276,8.220324661966307,-655.5087396511487,-0.11476521964194933,128.45157678222657,-158.4402927426611
13,166.83204846273688,8.523610407602776,-655.4869423856887,-0.10207160879114409,126.99281497802734,-158.20162236961025,166.80464110940048,8.10449627310578,-652.9630151696623,-0.13115810463949373,131.6885358276367,-158.55417233367658
14,166.82735243266782,8.513496739189911,-655.6857795858427,-0.10335730225830198,126.79617934570312,-158.2009923436591,166.76020386785314,8.346681391338407,-655.8022626374649,-0.11303285351398805,127.5799833984375,-158.33823617504015
15,166.8244635418897,8.527905683986926,-655.8785230046363,-0.10201081175720354,126.49123011474609,-158.18203430825258,166.85659468986583,8.859058041429272,-654.6244547028296,-0.08356477157029561,125.99936090087891,-157.89947425366734
16,166.8250087527858,8.54847212115959,-656.0085376275805,-0.09990338777100123,126.31118796386718,-158.1741384927437,166.82358590819783,8.766636891006097,-655.8908827474199,-0.08347622796894436,125.13472723388672,-157.96095327692262
17,166.81970289095685,8.568508304414236,-656.1543760330758,-0.09973503709987115,126.08028455810548,-158.15910474083947,166.77703370260937,8.289877403231174,-656.0151989136739,-0.11800219092489993,127.4394783935547,-158.35228480315223
