epoch,dw_kl_loss,kl_loss,loss,mi_loss,rec_loss,tc_loss,val_dw_kl_loss,val_kl_loss,val_loss,val_mi_loss,val_rec_loss,val_tc_loss
0,205.47846951629134,39.34217188499907,-904.1453704761939,-3.8191581105766663,514.666677722168,-162.04713596040762,166.67157139660483,1.9167050081014143,-1376.4008064470731,-2.894377077012672,78.33864862060547,-161.85166493872708
1,166.7253706752961,2.616258511358925,-1383.4007520454968,-2.1973488390616,71.14065961914062,-161.9069433500874,166.64654920269305,3.066978036051806,-1388.32655313156,-1.7207868917234594,65.49962103271484,-161.87519364752453
2,166.65920758500823,3.252164651479612,-1389.5515388213685,-1.5525383435382674,63.90712873535156,-161.8565336798189,166.651414429734,3.4267305336870746,-1390.7341722934211,-1.4045542494677499,62.03978109741211,-161.8020813571099
3,166.63982068215014,3.354707365866787,-1390.9122216137864,-1.4618638494601213,62.232233416748045,-161.8322411863228,166.62263514248068,3.3169040039121347,-1391.706183833638,-1.4595779469008254,61.43806521606445,-161.8307306245282
4,166.6317669406767,3.404753847131889,-1391.4158892356204,-1.4166393778350372,61.59515634765625,-161.82261731461213,166.61000301835134,3.235380321899381,-1391.8893717197557,-1.509416076586147,61.529983123779296,-161.85199417853005
5,166.61752561909395,3.399638056830292,-1391.7145137185373,-1.391309234735713,61.17838922729492,-161.8119119330189,166.618503224443,3.488575050151382,-1392.1012069087283,-1.3414948523293997,60.491156433105466,-161.78693717139475
6,166.6182645881829,3.4124208908336606,-1391.9970612170532,-1.3803937602675418,60.82337723388672,-161.8058309278857,166.63406499939077,3.5773403835091253,-1392.4345794257297,-1.2913326603457165,59.79774639892578,-161.75750581637016
7,166.6150473904171,3.460256763421189,-1392.2137883427235,-1.3509334602981218,60.52891557006836,-161.80068178429116,166.58507608467457,3.3445384628019617,-1392.6611954093414,-1.4098082757384396,60.571713256835935,-161.8408176475114
8,166.60977249351077,3.4728052999078143,-1392.3327475526155,-1.3459727056403525,60.424968157958986,-161.80215154984455,166.60516655586534,3.577466815964336,-1392.5775309953156,-1.2628595487213583,59.61516772460938,-161.7535005727069
9,166.61173162492335,3.483148857788994,-1392.4613092644825,-1.3270669205239842,60.18356113891601,-161.7929535107797,166.60495226951284,3.555770891935156,-1392.425942168036,-1.2709728367058681,59.95051123046875,-161.77104328313112
10,166.60495679139984,3.4882721250117474,-1392.5071340130628,-1.3253097047797315,60.07490053100586,-161.7861681630689,166.58459493355426,3.507550239731193,-1393.04749830502,-1.3325461711467168,59.52470434570313,-161.78242514131318
11,166.60245167558395,3.49927038993194,-1392.6790710601626,-1.3071488366284072,59.90135531005859,-161.78757292091782,166.60965792732935,3.6628559661143436,-1392.5123309793328,-1.2145118227307528,59.412092742919924,-161.73195698268503
12,166.6056869392176,3.5040907275887543,-1392.67327805681,-1.3071694201159694,59.91612465209961,-161.78879202280078,166.58490413542384,3.3842053067692888,-1392.663158564235,-1.4158291395945075,60.272690277099606,-161.8104923837165
13,166.59973460453247,3.5227089146945967,-1392.7259708322429,-1.3044476056678278,59.74456015625,-161.77658179873583,166.57390568442847,3.4631552807031274,-1393.1822968367771,-1.325727677411069,59.6349069519043,-161.80653817956977
14,166.59634227898835,3.5266684480565833,-1392.8376406888563,-1.2945978267425537,59.63311159667969,-161.77724967377813,166.60749147862248,3.537960531452408,-1393.1744268366963,-1.3105098362791319,59.07424624633789,-161.75456547253773
15,166.59990349190306,3.532216385728772,-1392.9048693476768,-1.2991604977478548,59.50509337768555,-161.7710705719517,166.5834847712107,3.3669600750482047,-1393.379563528216,-1.3804586283834037,59.77102719116211,-161.83536168622047
16,166.59554640993724,3.528152718100002,-1392.9608280935936,-1.288287616309866,59.48821533203125,-161.775630221925,166.60612555436643,3.5006149103387525,-1393.4361848316175,-1.3146503886047745,59.16683987426758,-161.78944998716463
17,166.59878198332322,3.5458674270032238,-1393.0748404061826,-1.282942873282823,59.33798049316406,-161.7728660009385,166.56582967846504,3.281364026323325,-1393.2217031025855,-1.438486986420771,60.19207266235352,-161.85411184569844
18,166.594169673562,3.5383220606427574,-1393.1918487321743,-1.2757151359549577,59.24261216430664,-161.77529154340863,166.6189129650278,3.8270647617174554,-1393.081516982246,-1.1360912858547296,58.08004888916015,-161.66443875505803
19,166.59112036126263,3.5560373781385484,-1393.2202846424266,-1.2740763191700828,59.12571703491211,-161.76630457194327,166.59550868254902,3.6294714418252196,-1393.6102845454566,-1.2304275106371534,58.48306976318359,-161.74584354805515
20,166.59328364339373,3.5530557492055777,-1393.2369035130384,-1.2722575489979322,59.084076568603514,-161.76420061760373,166.58603569196202,3.3030305765235126,-1392.4261649343148,-1.451627211232635,60.83717791748047,-161.8397751332524
21,166.58549241908779,3.543822167352309,-1393.2885398258793,-1.2693099102330652,59.10333932495117,-161.77080616596882,166.614404250959,3.5988144731529847,-1393.3523551326298,-1.26315641806992,58.73023907470703,-161.74338420402262
22,166.59182850170387,3.5737854935863287,-1393.4668371992084,-1.2550903936950777,58.88284553222656,-161.76864208394448,166.59007506611482,3.755285529776773,-1393.6377328305043,-1.15435545160345,57.92444332885742,-161.69978957738735
23,166.5915921206323,3.5494942639182234,-1393.3944099448818,-1.2673655988218955,58.88246320800781,-161.76010996747004,166.57894849208415,3.5579845095044926,-1393.9028093474456,-1.2442159934510408,58.498571990966795,-161.77361138370446
24,166.59008732666075,3.5614290152818415,-1393.5259723119266,-1.2674342428215528,58.76538612060547,-161.76140115163724,166.58497409739473,3.3262358938069116,-1393.7116538474193,-1.4127472735737991,59.453402618408205,-161.83372832896475
