epoch,dw_kl_loss,kl_loss,loss,mi_loss,rec_loss,tc_loss,val_dw_kl_loss,val_kl_loss,val_loss,val_mi_loss,val_rec_loss,val_tc_loss
0,171.6522724635119,22.57358462172778,205.01532632587185,-0.6001713894848304,182.48547669677734,-148.52225144493255,168.14291774416847,25.380579721850033,123.14692902138819,-4.460255643758959e-06,97.78398077392578,-142.77996503645042
1,167.9495226574872,25.587092065748596,117.22023880514747,-6.755081398922086e-05,91.63022890625,-142.35944520777602,167.83802688133687,26.381383137628422,113.33643554668237,-1.9859076553374598e-07,86.89976708984375,-141.40135822590753
2,167.77638281542485,27.15456241109934,112.02928377031621,-1.2923635687119495e-05,84.88581376953125,-140.63289989100417,167.7738243197741,28.222174927757344,110.33536301643348,-6.540128363141662e-08,82.0950941772461,-139.53355541518542
3,167.73372891513642,28.090351578489557,109.80920802384604,-7.988869127665632e-06,81.72762264404297,-139.65213554646402,167.81499901096544,29.270694780512166,109.16984803951989,-7.583853732340274e-09,79.89641925048828,-138.54157021434995
4,167.71363326984613,28.63026272835512,108.70972681880023,-8.142950735563925e-07,80.06549161376954,-139.0693972505204,167.6987997712897,27.886697075269765,108.95151722695026,-1.2986627028421793e-08,81.09748614501953,-139.8447686763723
5,167.70738800738678,29.051173131638695,107.6492214934483,-4.788211389650438e-05,78.60427370605468,-138.66239233787925,167.8082398324432,30.65125366368043,107.7216237422445,-2.1087174228995308e-12,77.11576629638672,-137.20238238658317
6,167.69762190627196,29.425939240608724,106.89848360972942,-8.471611600592954e-07,77.48998695068359,-138.289124400065,167.69594252291967,28.819334126027776,106.96800039511241,-1.6033567388938462e-05,78.14891033935547,-138.87683643359517
7,167.6999420206372,29.6819215123169,106.31784422145235,-2.2261909557556204e-05,76.62602591552735,-138.0081014528024,167.71196180833616,29.87139480500258,106.38777123932259,-7.622775217742394e-05,76.53351257324219,-137.85762691450373
8,167.72243478731272,29.907706225313014,105.8275804864941,-1.6301146275594648e-07,75.90352668457031,-137.7983808223777,167.70522794824674,29.80683714029156,106.74616321737685,-1.1171100127591594e-06,76.97273358154297,-137.93179719530286
9,167.71452702750528,30.14036579718088,105.39640797487395,-2.72348774413298e-06,75.27331177978516,-137.59142810892894,167.70739939189028,29.430523757841804,105.63767536374542,-1.0091316407612183e-08,76.17732513427734,-138.24704915233085
10,167.7103953666518,30.3173592543957,104.9744562133806,-2.3978347210472426e-06,74.68733353271485,-137.4232702881514,167.6733087923848,29.722678216127235,105.52285649299652,-4.974154143022602e-09,75.82187005615235,-137.9723223505665
11,167.70582130856786,30.336315603667277,104.82150360690747,-6.921864768999253e-07,74.42966922607422,-137.31398623554784,167.84805261333415,31.52578243485495,109.04847557049817,-1.5357506111257635e-10,77.51129699707032,-136.31087403975266
12,167.70712465144223,30.511043200151825,104.39219732949468,-8.153439239500848e-07,73.8800337890625,-137.19496029566616,167.69367437466047,30.48445307740083,105.00404481484667,-4.611026345327396e-06,74.48535961914062,-137.17498456792813
13,167.70389318994137,30.61701544087575,104.08842372877106,-2.7924580687321844e-07,73.47738482666016,-137.0928540085847,167.70041881971542,30.062895942489583,105.3294599313109,-3.127522240231606e-08,75.31084100341796,-137.68179986054736
14,167.71485704264833,30.655322842934225,104.02424925651306,-7.723668155149355e-07,73.36046966552735,-137.05107667929587,167.62765898986777,29.777372706536294,104.7374025825324,-1.6276071456555742e-07,74.90260150146484,-137.79285774603937
15,167.71009963974458,30.78715597597019,103.56773783132515,-7.510328903336027e-07,72.80537468261718,-136.947735740004,167.72049728123554,30.493348866854266,104.43941872434573,-9.633009204623732e-08,74.0100587158203,-137.2911371763801
