epoch,dw_kl_loss,kl_loss,loss,mi_loss,rec_loss,tc_loss,val_dw_kl_loss,val_kl_loss,val_loss,val_mi_loss,val_rec_loss,val_tc_loss
0,190.39846767791036,25.803014317495403,160.16073960772178,-3.568616602523765,458.60745110473636,-161.75885419080055,166.8058384174398,3.7081381651484677,-248.94953644199475,-2.04650972051333,69.4363352355957,-161.04840012483893
1,166.743931153446,4.495370310402945,-255.1271938070349,-1.3529379857980646,62.177379943847654,-160.8985223061768,166.7663137661329,5.072529825183091,-258.0772434819705,-0.9073071002738412,58.43652590942383,-160.79092535241773
2,166.73193979412412,5.001107333582689,-259.45395812575987,-0.8876400524463306,57.208497833251954,-160.83558523356305,166.77349472982863,5.429238759586467,-260.1296731807499,-0.7120154650501714,55.73726461791992,-160.64280568781612
3,166.74008960062994,5.188514862293492,-260.79319801275443,-0.7754406289362499,55.546717095947265,-160.76818802679853,166.8107201000645,5.429180079788135,-260.9150262557171,-0.6915024386479234,54.993665252685545,-160.67596972327303
4,166.74934152498278,5.343715557911066,-261.78067695292094,-0.694883868815517,54.29237111206055,-160.70916857371608,166.78451089544717,5.6006661533049025,-262.0396040285882,-0.6012322458066391,53.49102426147461,-160.57130231323438
5,166.74190565764263,5.439276899425117,-262.4447832991267,-0.6513336764042317,53.39771218261719,-160.64435582099415,166.74919418439103,5.5642103694035665,-262.81060092263976,-0.6294760658508478,52.768943450927736,-160.56642083070258
6,166.7389035774873,5.530712521576976,-262.86454347599346,-0.617407542764612,52.78807660522461,-160.59137203864688,166.76126675513274,5.763313126814005,-263.0225566499552,-0.5423948569774572,52.07723931884765,-160.43955595565276
7,166.72615805880494,5.586951449432036,-263.1279422595075,-0.5897744179066549,52.396153771972656,-160.55349322412584,166.77892271375242,5.761394666042324,-263.3084784543793,-0.5688271827350044,51.85559750366211,-160.45805716301962
8,166.73060573303545,5.636889574923173,-263.3602540967726,-0.5720104560742493,52.031134582519535,-160.516661318751,166.76782586365323,5.798055714912682,-263.30773903004024,-0.5576548557219846,51.800421447753905,-160.43944382857495
9,166.72877128452285,5.695584763923143,-263.60362392666667,-0.5601769195517017,51.65033677368164,-160.47418502177337,166.7577204307264,5.778220305780573,-263.8422689980538,-0.5143060942128604,51.25064678955078,-160.44544337470606
10,166.72427359825653,5.728325884543671,-263.79166757260555,-0.5367492974813955,51.42866917114258,-160.4692870148412,166.74114715266802,5.758326990653779,-264.0587173343857,-0.5362762400362975,51.02321380615234,-160.42893401772324
11,166.725233816399,5.762756240967675,-263.91451584689423,-0.5308516656909718,51.2175538269043,-160.4421506081689,166.74276798396605,5.6772413391771055,-264.15965794894726,-0.5468054781289605,51.10035244750976,-160.48532430076457
12,166.7251106349173,5.751823502441801,-264.1469022943032,-0.5306190520502571,50.93084457397461,-160.4240794837149,166.7107865230556,5.801493710945357,-264.1676035443861,-0.525918817952984,50.800580688476565,-160.38435064598846
13,166.72099855886339,5.783055339670433,-264.2595369405404,-0.5180205723891844,50.73213009643555,-160.3982150078167,166.75387392503387,6.013447228869014,-264.4059760368375,-0.4609698450369939,50.06464990234375,-160.2545100063927
14,166.7211309998224,5.803809241660417,-264.35833906288894,-0.5230629584235978,50.583559631347654,-160.37998891187848,166.7491704733973,5.784856239539698,-264.2620473872071,-0.5300578685576011,50.76948928833008,-160.41688309345895
15,166.71890499806415,5.841505405598479,-264.4514112379174,-0.512402145578783,50.428898260498045,-160.3622707836337,166.7190162265732,5.770038900342633,-264.57106872144567,-0.5014062581209362,50.49081918334961,-160.4264992910825
16,166.7227544875649,5.877004819709077,-264.61445328950515,-0.50031994309502,50.21779193725586,-160.35155992374348,166.7828150779174,6.172337512181992,-264.3270057242341,-0.42177853549887345,49.852130401611326,-160.18005755608803
17,166.7198296965482,5.884269175743857,-264.6680953269892,-0.4947700999828291,50.131852465820316,-160.34166912979165,166.75969651395013,5.9676544346654845,-264.57563299898555,-0.4933535760709802,50.051668395996096,-160.29788144428687
18,166.7176874741468,5.9143000173462195,-264.7559103134984,-0.4925880843670273,49.972406756591795,-160.31780548662317,166.76074094136595,6.218149743498794,-264.85165965239906,-0.43117864233732356,49.24929321289063,-160.14350505477273
19,166.71360182853593,5.932972101792739,-264.88241587530337,-0.4876924101407647,49.78390458984375,-160.2974099611808,166.74031202019395,5.839069132363382,-264.2804627225627,-0.5304330101620548,50.62604373168945,-160.37212848809472
20,166.7243388040344,5.948631073454154,-264.9141050151074,-0.4867876017927483,49.70015476074219,-160.28393699269697,166.72084729124305,5.797288434886771,-264.7853183341322,-0.537734988184785,50.18004885864258,-160.38282649861097
21,166.72175750395755,5.946327690845958,-265.0879655029887,-0.4783093432261103,49.50765319213867,-160.27968895195286,166.73310698680658,6.020870474367945,-265.08027279174274,-0.46507032113640207,49.444296600341794,-160.2642020192516
22,166.71844824981935,5.980795373513049,-265.16410165626894,-0.472548346512009,49.399658422851566,-160.2698866608094,166.7299191155346,6.00978443723514,-265.4427784267462,-0.4572098167731548,49.11508755493164,-160.27685842681313
23,166.72156208696458,6.002422490478463,-265.27001673072056,-0.4641423884646116,49.19165726318359,-160.2396978974682,166.7255282826422,6.030497407132184,-265.0757403127835,-0.46340611149336836,49.27071441650391,-160.20285896681207
24,166.72255504012304,6.033325636879268,-265.3533195877535,-0.46637191137856254,49.0472892578125,-160.21893065810332,166.73526503435716,6.019395871738362,-265.4339347634865,-0.46653761839360486,49.049632659912106,-160.2507649464541
25,166.71663405755527,6.0506007125633685,-265.4341430548065,-0.45336923608218577,48.911928247070314,-160.20311204111653,166.7609435506178,6.184444134214667,-265.5668212649576,-0.4226935761142919,48.604023193359374,-160.16969814427353
26,166.71933256970007,6.069078076388585,-265.58662232831654,-0.44736955644090776,48.727241650390624,-160.19527566398878,166.73931052797397,6.0227344187642755,-265.7486807097297,-0.4723943264563807,48.71081759643555,-160.24213816922753
27,166.7176548832114,6.1012633026524465,-265.6658337057527,-0.44526511819920117,48.586558575439454,-160.17492734873457,166.71750157413692,6.032649585629873,-265.7896448121116,-0.472028364736372,48.73218643188476,-160.2557681511323
28,166.7182124393835,6.124108765213787,-265.7408413652438,-0.44251331850607,48.4632924621582,-160.15994431609332,166.7513527148454,6.212372819329674,-265.5978347116479,-0.4206298287878796,48.430124298095706,-160.11956063193378
29,166.71758346310045,6.141770800680807,-265.79944579009214,-0.4420856485706333,48.33569268798828,-160.13687876420332,166.72607982529286,6.046898634409552,-265.8580509265998,-0.46907957228816344,48.61893353271484,-160.24466157077313
30,166.72392353903638,6.16100921129088,-265.8801592977507,-0.43272576439495997,48.22254368286133,-160.13130025175101,166.73934539542694,6.180009915109817,-265.8317578244556,-0.4419258299673681,48.277949584960936,-160.13570899162542
31,166.72028921362244,6.170041925766249,-265.95761973987527,-0.4306876662905898,48.10395989379883,-160.11706039366877,166.77751316478464,6.614535568717746,-265.93894457293254,-0.3324570750462055,47.078964935302736,-159.82098853265785
32,166.71884215995954,6.182320565380374,-266.00814138643256,-0.42720334453566,48.01081657104492,-160.1035322576339,166.74267340625988,6.2908952354150545,-266.1237121579128,-0.415272456158359,47.623169158935546,-160.02476075564988
33,166.71752310571827,6.165729218388128,-266.1185941348903,-0.427267788524501,47.94533278198242,-160.1180607446886,166.73906795653426,6.1267603783928735,-266.3416567294342,-0.45095044048247857,47.82134695434571,-160.15037373327715
34,166.72797023397973,6.218721121594278,-266.1259469195236,-0.42282503198982324,47.84556312866211,-160.09221841672488,166.77055611367075,6.3935423996163445,-265.95091636697305,-0.40109896147437984,47.65536001586914,-159.99191117834624
35,166.71485217652946,6.219427314490372,-266.2173557216165,-0.4157360895130453,47.7175173828125,-160.0779963971486,166.77922550103148,6.214471595128243,-265.83415986631957,-0.4266842726478977,48.214953552246094,-160.13388488231644
36,166.7186146723543,6.240227447908939,-266.260659713495,-0.41696997778671746,47.619657177734375,-160.06065386193228,166.72425467884466,6.0761383311847235,-266.3123487266869,-0.4662409471059348,47.92081372070312,-160.16372539304297
37,166.72060552303057,6.247559065173034,-266.3441501755186,-0.4182470327564376,47.53845444335938,-160.0616543697174,166.71584312243732,6.116758773382622,-266.45880153902976,-0.45356532744594014,47.67597869873047,-160.13235267758378
38,166.719959673904,6.245014307829625,-266.3906298905259,-0.4098462891841392,47.457890972900394,-160.0528780827153,166.74575708833686,6.43108042286778,-266.2709956593095,-0.37204607351087104,47.19908746337891,-159.94793137917148
39,166.7213981717615,6.269887915566504,-266.3840417167556,-0.4082031495524164,47.45635909423828,-160.0511986110677,166.7501857008805,6.191522545838766,-266.3523871619536,-0.4272936820783288,47.59408447265625,-160.08978788447078
40,166.72335679314583,6.274543655916964,-266.43579906227615,-0.4121678969931721,47.352782989501954,-160.03325698264368,166.7639028987426,6.581753230568023,-266.3965412528718,-0.356652382040437,46.61884478759766,-159.80754551905721
41,166.71740591601503,6.288380241316375,-266.4665501602779,-0.4080259553717519,47.29654536743164,-160.02415849611745,166.73955245015225,6.316215612230794,-266.45106084507194,-0.41037714920194324,47.313909759521486,-160.03138196851464
42,166.72362251770446,6.290745782451055,-266.55193377792693,-0.4072813437104865,47.198628173828126,-160.02230104191645,166.73354903126548,6.417106456194034,-266.40153309376655,-0.38782445218789885,47.07685461425781,-159.94137076236734
43,166.72433145507728,6.305546274663324,-266.4769024611115,-0.41488827640698217,47.266002770996096,-160.0174494702593,166.7643547943702,6.4408792557549415,-266.46344526735453,-0.3952693448430052,47.01034024047851,-159.94762365245336
44,166.72193290653738,6.305550036864466,-266.651025093959,-0.4015753380914428,47.07292222900391,-160.01476829713644,166.74229332516478,6.310207150112057,-266.52253286499996,-0.4060370242406926,47.26149002075195,-160.04009306222548
45,166.7177773412187,6.302765902678275,-266.6984858505072,-0.40315134345233994,47.00153006591797,-160.0048806380637,166.73101588062883,6.242121222404961,-266.6060577022283,-0.4358387417785777,47.266702575683595,-160.05597913892072
46,166.7163126966691,6.328337750554696,-266.72201714111793,-0.3987289602403579,46.94062689819336,-159.99340925858,166.723370136133,6.3009048186939784,-266.7669612864417,-0.41103878312946773,47.02849472045899,-160.03592911996813
47,166.72402656400092,6.341945481178442,-266.7382227652414,-0.4027766978503025,46.887037719726564,-159.9821701170397,166.73480933199585,6.336654102373325,-266.77580612428034,-0.40808692579894834,46.86563348388672,-159.98938733812142
48,166.72443436352938,6.328230587565382,-266.7962712600527,-0.39924619484026025,46.85120399169922,-159.99088780681384,166.78263323307368,6.58627061523285,-266.7187060414968,-0.36443792238119244,46.40367321777344,-159.8468581899877
49,166.7211208657321,6.331358501376962,-266.880478168988,-0.4005824434522596,46.774968841552734,-159.99199514427332,166.7464743078538,6.413086659719501,-266.75293846556826,-0.3885153433712525,46.69178707885742,-159.93422816963601
