epoch,loss,val_loss
0,237.59381969706217,207.46580269527612
1,213.16657248942056,204.48197245109458
2,215.8375514984131,204.18508006829344
3,209.7551340942383,208.09055001598054
4,208.12551264444986,206.3026133773491
5,208.38901011149088,203.6798111544419
6,211.7151096394857,213.59798581995332
7,214.81612833658855,208.75063474573457
8,208.82968607584635,209.1503993199524
9,214.25455242411294,203.34458173187085
